;SECTOR;SUBSECTOR;SEGMENT;ISSUER;CODE;TRADING SEGMENT
335;Financial;Asset-backed Securitization;Asset-backed Securitization;POLO CAP SEC;PLSC;Básico Bolsa
336;Financial;Diversified Financial Services;Asset Management and Ivestments;G2D INVEST;G2DI;BDR3
337;Financial;Diversified Financial Services;Asset Management and Ivestments;PPLA;PPLA;BDR3
338;Financial;Diversified Financial Services;Diversified Financial Services;B3;B3SA;Novo Mercado
339;Financial;Diversified Financial Services;Diversified Financial Services;CSU DIGITAL;CSUD;Novo Mercado
340;Financial;Insurance, Life and Multi-line;Insurance;BBSEGURIDADE;BBSE;Novo Mercado
341;Financial;Insurance, Life and Multi-line;Insurance;CAIXA SEGURI;CXSE;Novo Mercado
342;Financial;Insurance, Life and Multi-line;Insurance;PORTO SEGURO;PSSA;Novo Mercado
343;Financial;Insurance, Life and Multi-line;Reinsurance;IRBBRASIL RE;IRBR;Novo Mercado
344;Financial;Insurance, Life and Multi-line;Insurance and Reinsurance Brokers;WIZ CO;WIZC;Novo Mercado
345;Financial;Real Estate;Real Estate;ALLOS;ALOS;Novo Mercado
346;Financial;Real Estate;Real Estate;GENERALSHOPP;GSHP;Básico Bolsa
347;Financial;Real Estate;Real Estate;HABITASUL;HBTS;Básico Bolsa
348;Financial;Real Estate;Real Estate;HBR REALTY;HBRE;Novo Mercado
349;Financial;Real Estate;Real Estate;IGUATEMI S.A;IGTI;Nível 1
350;Financial;Real Estate;Real Estate;LOG COM PROP;LOGG;Novo Mercado
351;Financial;Real Estate;Real Estate;MULTIPLAN;MULT;Nível 2
352;Financial;Real Estate;Real Estate;NORDON MET;NORD;Básico Bolsa
353;Financial;Real Estate;Real Estate;PAR AL BAHIA;PEAB;Básico Bolsa
354;Financial;Real Estate;Real Estate;SAO CARLOS;SCAR;Novo Mercado
355;Financial;Real Estate;Real Estate;SYN PROP TEC;SYNE;Novo Mercado
356;Financial;Real Estate;Property Agency;LOPES BRASIL;LPSB;Novo Mercado
357;Financial;Real Estate;Property Agency;NEXPE;NEXP;Básico Bolsa
358;Financial;Holdings - Diversified;Holdings - Diversified;ARANDU;ARND;Novo Mercado
359;Financial;Holdings - Diversified;Holdings - Diversified;EMBPAR S/A;EPAR;Básico Bolsa
360;Financial;Holdings - Diversified;Holdings - Diversified;ITAUSA;ITSA;Nível 1
361;Financial;Holdings - Diversified;Holdings - Diversified;SIMPAR;SIMH;Novo Mercado
362;Financial;Diversified Services;Diversified Services;B100 S.A.;B100;Novo Mercado
363;Financial;Others Bonds;Others Bonds;CEPAC - CTBA;CTBA;Básico Balcão
364;Financial;Others Bonds;Others Bonds;CEPAC - MCRJ;MCRJ;Básico Balcão
365;Financial;Others Bonds;Others Bonds;CEPAC - PMSP;PMSP;Básico Balcão
367;Others;Others;Others;524 PARTICIP;QVQP;Básico Bolsa
368;Others;Others;Others;BETAPART;BETP;Básico Bolsa
369;Others;Others;Others;CEMEPE;MAPT;Básico Bolsa
370;Others;Others;Others;GAMA PART;OPGM;Básico Bolsa
371;Others;Others;Others;POLPAR;PPAR;Básico Bolsa
372;Others;Others;Others;PROMPT PART;PRPT;Básico Bolsa
373;Others;Others;Others;SUDESTE S/A;OPSE;Básico Bolsa
374;Others;Others;Others;SUL 116 PART;OPTS;Básico Bolsa
